VendaID,ClienteID,ProdutoID,Quantidade,Preço_x,Valor,Data,Total,Cliente,Cidade,Produto,Categoria,Preço_y
3810,90,10,3,270.0,810.0,2024-07-05,810.0,Benicio Farias,Olinda,Webcam Full HD,Vídeo,270
4852,47,7,2,480.0,960.0,2024-07-05,960.0,Antonella Macedo,Olinda,SSD 1TB,Hardware,480
2588,194,3,2,180.0,360.0,2024-07-05,360.0,Luiza Monteiro,Recife,Mouse Gamer,Periféricos,180
928,155,6,4,1700.0,6800.0,2024-07-05,6800.0,Caleb Moraes,Abreu e Lima,Monitor 27,Monitores,1700
4287,87,1,5,4200.0,21000.0,2024-07-06,21000.0,Maria Isis Pinto,Petrolina,Notebook Dell,Informática,4200
781,41,8,5,420.0,2100.0,2024-07-06,2100.0,Isabel Correia,Petrolina,HD 2TB,Hardware,420
4111,8,4,3,320.0,960.0,2024-07-06,960.0,Heitor Gomes,Igarassu,Teclado Mecânico,Periféricos,320
3961,141,15,5,5200.0,26000.0,2024-07-06,26000.0,Kamilly Aparecida,Igarassu,Placa de Vídeo RTX,Hardware,5200
3960,171,13,5,870.0,4350.0,2024-07-06,4350.0,Melissa da Paz,Jaboatão,Mesa Escritório,Móveis,870
205,20,6,4,1700.0,6800.0,2024-07-06,6800.0,Ana Clara Melo,Igarassu,Monitor 27,Monitores,1700
2265,177,2,2,3900.0,7800.0,2024-07-06,7800.0,Noah Garcia,Igarassu,Notebook Lenovo,Informática,3900
4165,22,6,1,1700.0,1700.0,2024-07-06,1700.0,Dr. Caleb Ribeiro,Igarassu,Monitor 27,Monitores,1700
2371,130,9,5,350.0,1750.0,2024-07-06,1750.0,Ana Laura Peixoto,Olinda,Headset Gamer,Áudio,350
4023,73,14,1,450.0,450.0,2024-07-06,450.0,Dom Almeida,Abreu e Lima,Microfone USB,Áudio,450
1847,81,15,4,5200.0,20800.0,2024-07-07,20800.0,Giovanna Fonseca,Igarassu,Placa de Vídeo RTX,Hardware,5200
254,6,12,2,1550.0,3100.0,2024-07-07,3100.0,Dr. Rael Pereira,Jaboatão,Cadeira Gamer,Móveis,1550
4658,61,1,3,4200.0,12600.0,2024-07-07,12600.0,Joana Pastor,Paulista,Notebook Dell,Informática,4200
3904,193,3,4,180.0,720.0,2024-07-07,720.0,Dr. Luiz Otávio Sales,Petrolina,Mouse Gamer,Periféricos,180
3643,14,8,3,420.0,1260.0,2024-07-07,1260.0,Leandro Cavalcanti,Olinda,HD 2TB,Hardware,420
4229,126,15,2,5200.0,10400.0,2024-07-07,10400.0,Mariah Leão,Igarassu,Placa de Vídeo RTX,Hardware,5200
2189,106,2,3,3900.0,11700.0,2024-07-07,11700.0,Lucas Gabriel Caldeira,Cabo de Santo Agostinho,Notebook Lenovo,Informática,3900
2475,198,9,5,350.0,1750.0,2024-07-07,1750.0,Davi Lucas Caldeira,Abreu e Lima,Headset Gamer,Áudio,350
1229,138,11,5,980.0,4900.0,2024-07-08,4900.0,Brenda Castro,Garanhuns,Impressora Epson,Escritório,980
3312,163,13,4,870.0,3480.0,2024-07-08,3480.0,José Miguel Azevedo,Recife,Mesa Escritório,Móveis,870
1631,153,1,3,4200.0,12600.0,2024-07-08,12600.0,Josué Freitas,Igarassu,Notebook Dell,Informática,4200
2953,39,9,1,350.0,350.0,2024-07-08,350.0,Vitor Hugo Nascimento,Olinda,Headset Gamer,Áudio,350
3732,162,6,1,1700.0,1700.0,2024-07-08,1700.0,Antônio Machado,Paulista,Monitor 27,Monitores,1700
4112,57,3,1,180.0,180.0,2024-07-08,180.0,Isabela Borges,Recife,Mouse Gamer,Periféricos,180
